time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1063508612,0.6705,0.6654,-9.7206,-0.0314,-0.0866,0.1497,0.0000,0.0000,0.0000
1063518511,0.6624,0.6774,-9.7142,-0.0317,-0.0561,0.0596,0.0000,0.0000,0.0000
1063528509,0.6672,0.6734,-9.7174,0.0078,-0.0379,0.0723,0.0000,0.0000,0.0000
1063538695,0.6737,0.6662,-9.7166,0.0014,-0.0503,0.1082,0.0000,0.0000,0.0000
1063548515,0.6721,0.6670,-9.7110,-0.0330,-0.0808,0.0319,0.0000,0.0000,0.0000
1063558619,0.6721,0.6710,-9.7150,-0.0387,-0.1463,0.0072,0.0000,0.0000,0.0000
1063568683,0.6584,0.6670,-9.7230,-0.0270,-0.1161,0.0183,0.0000,0.0000,0.0000
1063578514,0.6600,0.6742,-9.7158,-0.0268,-0.0319,0.0424,0.0000,0.0000,0.0000
1063588621,0.6809,0.6782,-9.7174,-0.0270,-0.0133,0.0540,0.0000,0.0000,0.0000
1063598615,0.6809,0.6750,-9.7182,-0.0167,-0.0798,0.0838,0.0000,0.0000,0.0000
1063608620,0.6600,0.6702,-9.7102,-0.0110,-0.1462,0.0789,0.0000,0.0000,0.0000
1063618440,0.6576,0.6750,-9.7150,-0.0265,-0.0983,0.0500,0.0000,0.0000,0.0000
1063628720,0.6729,0.6742,-9.7126,-0.0206,-0.0622,0.0376,0.0000,0.0000,0.0000
1063638440,0.6777,0.6686,-9.7126,-0.0040,-0.1040,0.0492,0.0000,0.0000,0.0000
1063648521,0.6833,0.6742,-9.7182,-0.0039,-0.1279,0.1146,0.0000,0.0000,0.0000
1063658645,0.6713,0.6742,-9.7190,-0.0317,-0.1337,0.1800,0.0000,0.0000,0.0000
1063668440,0.6560,0.6694,-9.7206,-0.0263,-0.1036,0.1087,0.0000,0.0000,0.0000
1063678647,0.6536,0.6702,-9.7214,-0.0261,-0.0564,0.0020,0.0000,0.0000,0.0000
1063688511,0.6689,0.6726,-9.7198,-0.0268,0.0104,0.0255,0.0000,0.0000,0.0000
1063698511,0.6833,0.6702,-9.7158,-0.0153,-0.0326,0.1314,0.0000,0.0000,0.0000
1063708513,0.6793,0.6678,-9.7158,-0.0152,-0.1222,0.1430,0.0000,0.0000,0.0000
1063718511,0.6632,0.6726,-9.7134,-0.0263,-0.1337,0.0733,0.0000,0.0000,0.0000
1063728710,0.6504,0.6726,-9.7118,-0.0206,-0.0445,0.1032,0.0000,0.0000,0.0000
1063738512,0.6681,0.6670,-9.7118,-0.0379,0.0228,0.1629,0.0000,0.0000,0.0000
1063748518,0.6858,0.6678,-9.7174,-0.0387,-0.0677,0.0558,0.0000,0.0000,0.0000
1063758514,0.6737,0.6710,-9.7166,-0.0153,-0.1632,-0.0273,0.0000,0.0000,0.0000
1063768512,0.6657,0.6710,-9.7134,-0.0260,-0.1635,0.0480,0.0000,0.0000,0.0000
1063778688,0.6625,0.6678,-9.7174,-0.0493,-0.1156,0.1614,0.0000,0.0000,0.0000
1063788447,0.6600,0.6710,-9.7198,-0.0272,-0.0564,0.1496,0.0000,0.0000,0.0000
1063798726,0.6656,0.6734,-9.7150,-0.0211,-0.0569,0.0309,0.0000,0.0000,0.0000
1063808444,0.6745,0.6686,-9.7142,-0.0211,-0.0625,0.0725,0.0000,0.0000,0.0000
1063818520,0.6745,0.6686,-9.7094,-0.0261,-0.0864,0.1325,0.0000,0.0000,0.0000
1063828447,0.6729,0.6702,-9.7118,-0.0433,-0.1339,0.0783,0.0000,0.0000,0.0000
1063838521,0.6697,0.6726,-9.7150,-0.0489,-0.1453,0.1021,0.0000,0.0000,0.0000
1063848649,0.6713,0.6694,-9.7134,-0.0436,-0.1276,0.1497,0.0000,0.0000,0.0000
1063858450,0.6777,0.6822,-9.7134,-0.0609,-0.1160,0.1084,0.0000,0.0000,0.0000
1063868616,0.6729,0.6838,-9.7126,-0.0501,-0.1514,0.1321,0.0000,0.0000,0.0000
1063878615,0.6576,0.6630,-9.7174,-0.0104,-0.1098,0.2273,0.0000,0.0000,0.0000
1063888445,0.6601,0.6582,-9.7238,-0.0209,-0.0448,0.1497,0.0000,0.0000,0.0000
1063898620,0.6665,0.6774,-9.7286,-0.0428,0.0043,0.0542,0.0000,0.0000,0.0000
1063908615,0.6713,0.6750,-9.7150,-0.0149,0.0043,0.0132,0.0000,0.0000,0.0000
1063918513,0.6809,0.6710,-9.7102,-0.0093,-0.0503,0.0309,0.0000,0.0000,0.0000
1063928439,0.6681,0.6750,-9.7190,-0.0103,-0.0625,0.1439,0.0000,0.0000,0.0000
1063938722,0.6584,0.6654,-9.7182,0.0078,-0.0630,0.1736,0.0000,0.0000,0.0000
1063948686,0.6665,0.6582,-9.7166,-0.0265,-0.0385,0.0484,0.0000,0.0000,0.0000
1063958523,0.6713,0.6702,-9.7166,-0.0501,-0.0688,0.0132,0.0000,0.0000,0.0000
1063968692,0.6617,0.6766,-9.7158,-0.0328,-0.0732,0.1080,0.0000,0.0000,0.0000
1063978447,0.6600,0.6646,-9.7158,-0.0089,-0.0187,0.1739,0.0000,0.0000,0.0000
1063988623,0.6777,0.6678,-9.7110,-0.0265,-0.0447,0.0480,0.0000,0.0000,0.0000
1063998445,0.6801,0.6782,-9.7150,-0.0331,-0.1279,-0.0393,0.0000,0.0000,0.0000
1064008627,0.6665,0.6702,-9.7158,0.0021,-0.1335,0.0834,0.0000,0.0000,0.0000
1064018618,0.6552,0.6614,-9.7230,0.0029,-0.0624,0.1736,0.0000,0.0000,0.0000
1064028524,0.6664,0.6726,-9.7182,-0.0094,-0.0267,0.0843,0.0000,0.0000,0.0000
1064038450,0.6729,0.6806,-9.7110,-0.0044,-0.0803,0.0247,0.0000,0.0000,0.0000
1064048522,0.6673,0.6742,-9.7142,0.0075,-0.0863,0.0904,0.0000,0.0000,0.0000
