time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4212781995,-0.1678,0.6670,-9.7357,-0.0442,-0.0803,0.0072,0.0000,0.0000,0.0000
4212791915,-0.1694,0.6726,-9.7381,-0.0322,-0.0497,0.0434,0.0000,0.0000,0.0000
4212801990,-0.1654,0.6734,-9.7357,-0.0379,-0.0257,0.1380,0.0000,0.0000,0.0000
4212811920,-0.1654,0.6694,-9.7373,-0.0498,-0.0251,0.1434,0.0000,0.0000,0.0000
4212822156,-0.1637,0.6614,-9.7325,-0.0206,-0.0081,0.0612,0.0000,0.0000,0.0000
4212831919,-0.1589,0.6646,-9.7341,-0.0030,-0.0391,0.0373,0.0000,0.0000,0.0000
4212842198,-0.1589,0.6734,-9.7381,-0.0324,-0.0984,0.0361,0.0000,0.0000,0.0000
4212851920,-0.1662,0.6758,-9.7357,-0.0493,-0.0627,0.1251,0.0000,0.0000,0.0000
4212861988,-0.1718,0.6694,-9.7317,-0.0148,-0.0380,0.2328,0.0000,0.0000,0.0000
4212871918,-0.1694,0.6638,-9.7325,-0.0040,-0.0131,0.1500,0.0000,0.0000,0.0000
4212881997,-0.1614,0.6662,-9.7293,-0.0100,-0.0616,0.0428,0.0000,0.0000,0.0000
4212892090,-0.1613,0.6646,-9.7294,-0.0050,-0.1281,0.0128,0.0000,0.0000,0.0000
4212901994,-0.1678,0.6702,-9.7373,-0.0276,-0.0860,0.0482,0.0000,0.0000,0.0000
4212912094,-0.1726,0.6686,-9.7309,-0.0212,-0.0442,0.1376,0.0000,0.0000,0.0000
4212921921,-0.1686,0.6654,-9.7349,-0.0310,-0.0740,0.0130,0.0000,0.0000,0.0000
4212931984,-0.1549,0.6750,-9.7349,-0.0482,-0.0677,-0.0910,0.0000,0.0000,0.0000
4212942120,-0.1614,0.6734,-9.7278,-0.0148,-0.0677,0.0425,0.0000,0.0000,0.0000
4212951999,-0.1694,0.6662,-9.7325,-0.0267,-0.0922,0.1018,0.0000,0.0000,0.0000
4212962092,-0.1686,0.6646,-9.7357,-0.0270,-0.1160,0.0130,0.0000,0.0000,0.0000
4212972099,-0.1766,0.6694,-9.7373,-0.0219,-0.1104,0.0245,0.0000,0.0000,0.0000
4212982090,-0.1774,0.6686,-9.7293,-0.0282,-0.0322,0.1376,0.0000,0.0000,0.0000
4212992164,-0.1694,0.6622,-9.7301,-0.0279,0.0110,0.1860,0.0000,0.0000,0.0000
4213002091,-0.1565,0.6606,-9.7333,-0.0098,-0.0561,0.0900,0.0000,0.0000,0.0000
4213011987,-0.1662,0.6646,-9.7381,-0.0152,-0.1574,-0.0275,0.0000,0.0000,0.0000
4213021919,-0.1846,0.6710,-9.7341,-0.0271,-0.0983,0.0355,0.0000,0.0000,0.0000
4213032200,-0.1750,0.6702,-9.7294,-0.0094,0.0228,0.1381,0.0000,0.0000,0.0000
4213041919,-0.1485,0.6686,-9.7349,-0.0152,0.0364,0.0604,0.0000,0.0000,0.0000
4213052090,-0.1525,0.6670,-9.7318,-0.0382,-0.0916,0.0426,0.0000,0.0000,0.0000
4213062122,-0.1726,0.6710,-9.7302,-0.0376,-0.1574,0.1196,0.0000,0.0000,0.0000
4213071987,-0.1734,0.6710,-9.7349,-0.0322,-0.1100,0.1021,0.0000,0.0000,0.0000
4213081919,-0.1686,0.6710,-9.7301,-0.0268,-0.0316,0.0135,0.0000,0.0000,0.0000
4213091995,-0.1597,0.6734,-9.7333,-0.0154,-0.0380,0.0076,0.0000,0.0000,0.0000
4213102093,-0.1638,0.6654,-9.7381,-0.0271,-0.0743,0.0779,0.0000,0.0000,0.0000
