time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
4150420862,-0.2103,0.6886,-9.7310,-0.0154,-0.0924,0.1917,0.0000,0.0000,0.0000
4150430738,-0.2255,0.6814,-9.7334,-0.0208,-0.0982,0.2091,0.0000,0.0000,0.0000
4150440828,-0.2223,0.6886,-9.7286,-0.0378,-0.1039,0.0313,0.0000,0.0000,0.0000
4150450728,-0.2199,0.6870,-9.7294,-0.0260,-0.1043,-0.0094,0.0000,0.0000,0.0000
4150460663,-0.2199,0.6774,-9.7246,-0.0089,-0.0863,0.1196,0.0000,0.0000,0.0000
4150470904,-0.2199,0.6846,-9.7310,-0.0438,-0.0736,0.1675,0.0000,0.0000,0.0000
4150480664,-0.2183,0.6854,-9.7326,-0.0273,-0.0617,0.0959,0.0000,0.0000,0.0000
4150490837,-0.2151,0.6846,-9.7334,-0.0098,-0.0742,0.0247,0.0000,0.0000,0.0000
4150500661,-0.2183,0.6830,-9.7334,0.0019,-0.1042,0.0962,0.0000,0.0000,0.0000
4150510735,-0.2135,0.6790,-9.7302,-0.0093,-0.1162,0.1025,0.0000,0.0000,0.0000
4150520828,-0.2151,0.6886,-9.7334,-0.0152,-0.1517,0.0606,0.0000,0.0000,0.0000
4150530740,-0.2223,0.6822,-9.7286,-0.0331,-0.1159,0.1618,0.0000,0.0000,0.0000
4150540733,-0.2287,0.6750,-9.7302,-0.0160,-0.0328,0.1797,0.0000,0.0000,0.0000
4150550742,-0.2239,0.6782,-9.7310,-0.0273,0.0039,0.0605,0.0000,0.0000,0.0000
4150560905,-0.2159,0.6814,-9.7286,-0.0330,-0.0503,0.0311,0.0000,0.0000,0.0000
4150570938,-0.2215,0.6846,-9.7318,-0.0271,-0.0741,0.0197,0.0000,0.0000,0.0000
4150580734,-0.2175,0.6934,-9.7238,-0.0382,-0.0260,0.0438,0.0000,0.0000,0.0000
4150590834,-0.2207,0.6902,-9.7262,-0.0276,0.0042,0.1266,0.0000,0.0000,0.0000
4150600841,-0.2159,0.6806,-9.7294,-0.0224,-0.0439,0.0842,0.0000,0.0000,0.0000
4150610658,-0.2143,0.6862,-9.7326,-0.0453,-0.0976,-0.0219,0.0000,0.0000,0.0000
4150620731,-0.2231,0.6870,-9.7294,-0.0447,-0.1037,0.0239,0.0000,0.0000,0.0000
4150630871,-0.2159,0.6838,-9.7254,-0.0441,-0.0683,0.0593,0.0000,0.0000,0.0000
4150640838,-0.2103,0.6870,-9.7286,-0.0558,-0.0741,0.0890,0.0000,0.0000,0.0000
4150650664,-0.2103,0.6902,-9.7278,-0.0391,-0.1045,0.1134,0.0000,0.0000,0.0000
4150660903,-0.2271,0.6886,-9.7318,-0.0154,-0.1164,0.0958,0.0000,0.0000,0.0000
4150670664,-0.2335,0.6822,-9.7302,-0.0206,-0.0629,0.1024,0.0000,0.0000,0.0000
4150680837,-0.2095,0.6854,-9.7254,-0.0202,-0.0630,0.0900,0.0000,0.0000,0.0000
4150690871,-0.2079,0.6894,-9.7318,-0.0271,-0.1044,0.0600,0.0000,0.0000,0.0000
4150700838,-0.2295,0.6846,-9.7333,-0.0330,-0.1216,0.0544,0.0000,0.0000,0.0000
4150710670,-0.2311,0.6766,-9.7302,-0.0382,-0.0861,0.1021,0.0000,0.0000,0.0000
4150720741,-0.2191,0.6830,-9.7350,-0.0439,-0.0441,0.0480,0.0000,0.0000,0.0000
4150730733,-0.2159,0.6894,-9.7286,-0.0217,-0.0383,0.0361,0.0000,0.0000,0.0000
4150740904,-0.2295,0.6774,-9.7310,0.0244,-0.0680,0.1438,0.0000,0.0000,0.0000
4150750908,-0.2344,0.6718,-9.7373,-0.0091,-0.0195,0.1146,0.0000,0.0000,0.0000
4150760739,-0.2159,0.6846,-9.7278,-0.0376,0.0225,0.0014,0.0000,0.0000,0.0000
4150770904,-0.1942,0.6934,-9.7294,-0.0093,-0.0625,0.0540,0.0000,0.0000,0.0000
4150780741,-0.2095,0.6854,-9.7357,-0.0207,-0.1279,0.1021,0.0000,0.0000,0.0000
4150790736,-0.2343,0.6846,-9.7286,-0.0147,-0.1275,0.0494,0.0000,0.0000,0.0000
4150800668,-0.2343,0.6854,-9.7357,0.0023,-0.0370,0.1017,0.0000,0.0000,0.0000
4150810842,-0.2103,0.6766,-9.7302,-0.0394,0.0233,0.1602,0.0000,0.0000,0.0000
4150820845,-0.2031,0.6782,-9.7270,-0.0795,-0.0798,0.0831,0.0000,0.0000,0.0000
4150830667,-0.2271,0.6886,-9.7350,-0.0442,-0.1512,0.0605,0.0000,0.0000,0.0000
4150840668,-0.2375,0.6870,-9.7310,-0.0100,-0.0561,0.0837,0.0000,0.0000,0.0000
4150850752,-0.2183,0.6838,-9.7334,-0.0209,0.0963,0.1433,0.0000,0.0000,0.0000
4150860832,-0.1942,0.6822,-9.7286,-0.0381,0.0897,0.1970,0.0000,0.0000,0.0000
4150870743,-0.1942,0.6878,-9.7278,-0.0509,-0.0920,0.0958,0.0000,0.0000,0.0000
4150880838,-0.2255,0.6814,-9.7310,-0.0213,-0.2108,0.1195,0.0000,0.0000,0.0000
4150890842,-0.2432,0.6750,-9.7334,-0.0256,-0.0687,0.1738,0.0000,0.0000,0.0000
4150900675,-0.2175,0.6806,-9.7270,-0.0328,0.0464,0.1017,0.0000,0.0000,0.0000
4150910944,-0.1990,0.6886,-9.7302,-0.0270,-0.0135,0.0544,0.0000,0.0000,0.0000
4150920740,-0.2143,0.6886,-9.7254,-0.0094,-0.1216,0.0486,0.0000,0.0000,0.0000
4150930742,-0.2303,0.6838,-9.7254,-0.0261,-0.1512,0.0838,0.0000,0.0000,0.0000
4150940846,-0.2263,0.6814,-9.7342,-0.0493,-0.0916,0.1142,0.0000,0.0000,0.0000
4150950747,-0.2143,0.6854,-9.7286,-0.0212,-0.0315,0.0779,0.0000,0.0000,0.0000
4150960945,-0.2095,0.6886,-9.7254,-0.0216,-0.0622,0.1317,0.0000,0.0000,0.0000
4150970904,-0.2127,0.6822,-9.7278,-0.0216,-0.1100,0.1859,0.0000,0.0000,0.0000
4150980766,-0.2175,0.6822,-9.7302,-0.0267,-0.1518,0.1377,0.0000,0.0000,0.0000
4150990741,-0.2255,0.6790,-9.7326,-0.0098,-0.1396,0.1079,0.0000,0.0000,0.0000
4151000744,-0.2191,0.6790,-9.7302,0.0015,-0.0803,0.0776,0.0000,0.0000,0.0000
4151010853,-0.2111,0.6902,-9.7270,-0.0212,-0.0683,0.0476,0.0000,0.0000,0.0000
4151020675,-0.2119,0.6886,-9.7294,-0.0498,-0.0921,0.1197,0.0000,0.0000,0.0000
4151030876,-0.2231,0.6798,-9.7309,-0.0265,-0.0623,0.1914,0.0000,0.0000,0.0000
4151040671,-0.2239,0.6790,-9.7270,-0.0255,-0.0377,0.1076,0.0000,0.0000,0.0000
4151050670,-0.2167,0.6862,-9.7318,-0.0479,-0.0738,0.0600,0.0000,0.0000,0.0000
4151060737,-0.2231,0.6830,-9.7342,-0.0258,-0.0567,0.0371,0.0000,0.0000,0.0000
4151070669,-0.2111,0.6838,-9.7262,-0.0204,0.0042,0.0903,0.0000,0.0000,0.0000
4151080951,-0.2023,0.6878,-9.7342,-0.0430,-0.0802,0.1255,0.0000,0.0000,0.0000
4151090677,-0.2327,0.6846,-9.7405,-0.0491,-0.1098,0.0658,0.0000,0.0000,0.0000
4151100854,-0.2368,0.6742,-9.7222,-0.0491,0.0050,0.0369,0.0000,0.0000,0.0000
4151110750,-0.2006,0.6742,-9.7310,-0.0664,-0.0195,0.0078,0.0000,0.0000,0.0000
4151120747,-0.2023,0.6910,-9.7437,-0.0439,-0.0984,0.0309,0.0000,0.0000,0.0000
4151130848,-0.2263,0.6934,-9.7214,-0.0396,-0.1455,0.1196,0.0000,0.0000,0.0000
4151140752,-0.2295,0.6806,-9.7349,-0.0556,-0.1336,0.1367,0.0000,0.0000,0.0000
4151150917,-0.2223,0.6838,-9.7381,-0.0261,-0.0135,0.0889,0.0000,0.0000,0.0000
4151160905,-0.2183,0.6806,-9.7166,0.0187,-0.0249,0.0713,0.0000,0.0000,0.0000
4151170918,-0.2183,0.6790,-9.7381,0.0020,-0.1098,0.0428,0.0000,0.0000,0.0000
4151180846,-0.2199,0.6830,-9.7310,-0.0149,-0.0569,0.0601,0.0000,0.0000,0.0000
4151190844,-0.2199,0.6846,-9.7278,-0.0157,-0.0683,0.1077,0.0000,0.0000,0.0000
4151200853,-0.2231,0.6894,-9.7405,-0.0267,-0.0979,0.1376,0.0000,0.0000,0.0000
4151210677,-0.2271,0.6854,-9.7318,-0.0157,-0.0007,0.1438,0.0000,0.0000,0.0000
4151220954,-0.2167,0.6798,-9.7222,-0.0165,-0.0621,0.0783,0.0000,0.0000,0.0000
4151230680,-0.2199,0.6742,-9.7397,-0.0499,-0.0500,0.0303,0.0000,0.0000,0.0000
4151240750,-0.2135,0.6806,-9.7230,-0.0374,-0.0135,0.0303,0.0000,0.0000,0.0000
4151250948,-0.2191,0.6894,-9.7302,-0.0260,-0.0743,0.0661,0.0000,0.0000,0.0000
4151260754,-0.2215,0.6902,-9.7357,-0.0328,-0.0321,0.0955,0.0000,0.0000,0.0000
4151270745,-0.2183,0.6870,-9.7222,-0.0208,-0.0321,0.1197,0.0000,0.0000,0.0000
4151280920,-0.2127,0.6782,-9.7365,-0.0153,-0.0921,0.0841,0.0000,0.0000,0.0000
4151290852,-0.2095,0.6838,-9.7270,-0.0381,-0.0868,0.0783,0.0000,0.0000,0.0000
4151300850,-0.2167,0.6894,-9.7222,-0.0274,-0.1463,0.1135,0.0000,0.0000,0.0000
4151310748,-0.2287,0.6878,-9.7413,-0.0157,-0.1814,0.0955,0.0000,0.0000,0.0000
4151320743,-0.2303,0.6886,-9.7286,-0.0041,-0.0562,0.0897,0.0000,0.0000,0.0000
