time (msec),xAccel (m/s^2),yAccel (m/s^2),zAccel (m/s^2),xRate (deg/s),yRate (deg/s),zRate (deg/s),xMag (Gauss),yMag (Gauss),zMag (Gauss)
1346974395,0.0706,0.6702,-9.7341,-0.0500,-0.0380,0.1622,0.0000,0.0000,0.0000
1346984158,0.0738,0.6734,-9.7405,-0.0669,-0.0248,0.1079,0.0000,0.0000,0.0000
1346994230,0.0577,0.6758,-9.7341,-0.0325,-0.0248,0.0900,0.0000,0.0000,0.0000
1347004360,0.0642,0.6702,-9.7317,-0.0277,-0.0202,0.0780,0.0000,0.0000,0.0000
1347014401,0.0802,0.6750,-9.7397,-0.0558,-0.0682,0.0132,0.0000,0.0000,0.0000
1347024154,0.0754,0.6790,-9.7389,-0.0212,-0.0801,0.0666,0.0000,0.0000,0.0000
1347034326,0.0658,0.6686,-9.7342,0.0020,-0.0625,0.2091,0.0000,0.0000,0.0000
1347044158,0.0682,0.6686,-9.7342,-0.0438,-0.0256,0.1741,0.0000,0.0000,0.0000
1347054400,0.0722,0.6726,-9.7302,-0.0272,-0.0140,0.0187,0.0000,0.0000,0.0000
1347064317,0.0698,0.6710,-9.7325,-0.0044,-0.0860,-0.0334,0.0000,0.0000,0.0000
1347074231,0.0722,0.6726,-9.7365,-0.0162,-0.0801,0.0191,0.0000,0.0000,0.0000
1347084325,0.0682,0.6734,-9.7421,-0.0147,-0.0442,0.0901,0.0000,0.0000,0.0000
1347094225,0.0626,0.6670,-9.7334,-0.0144,-0.0185,0.1502,0.0000,0.0000,0.0000
1347104317,0.0730,0.6670,-9.7294,-0.0211,-0.0130,0.0847,0.0000,0.0000,0.0000
1347114228,0.0858,0.6806,-9.7310,-0.0261,-0.0801,-0.0396,0.0000,0.0000,0.0000
1347124147,0.0738,0.6806,-9.7310,-0.0260,-0.1275,0.0007,0.0000,0.0000,0.0000
1347134331,0.0610,0.6694,-9.7325,-0.0098,-0.0973,0.0893,0.0000,0.0000,0.0000
1347144225,0.0634,0.6622,-9.7389,-0.0094,0.0060,0.0897,0.0000,0.0000,0.0000
1347154433,0.0754,0.6686,-9.7373,-0.0322,-0.0065,0.0791,0.0000,0.0000,0.0000
1347164220,0.0834,0.6758,-9.7349,-0.0487,-0.1039,0.0377,0.0000,0.0000,0.0000
1347174326,0.0714,0.6734,-9.7365,-0.0493,-0.1636,0.0490,0.0000,0.0000,0.0000
1347184230,0.0610,0.6734,-9.7349,-0.0216,-0.1222,0.0488,0.0000,0.0000,0.0000
1347194155,0.0754,0.6726,-9.7333,-0.0163,-0.0922,0.0900,0.0000,0.0000,0.0000
1347204402,0.0818,0.6686,-9.7381,-0.0496,-0.1043,0.1734,0.0000,0.0000,0.0000
1347214161,0.0626,0.6694,-9.7389,-0.0666,-0.1758,0.1130,0.0000,0.0000,0.0000
1347224445,0.0545,0.6806,-9.7365,-0.0669,-0.0987,0.0598,0.0000,0.0000,0.0000
1347234161,0.0778,0.6798,-9.7342,-0.0202,-0.0200,0.0671,0.0000,0.0000,0.0000
